"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Occupations in manufacturing and utilities [9]","Females","25 to 54 years","Ratio","271","units","0","v1063671333","7.6.2.47.3.3","0.80","","","","2"
"1997","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.83","","","","2"
"1998","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.81","","","","2"
"1999","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.82","","","","2"
"2000","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.82","","","","2"
"2001","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.82","","","","2"
"2002","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.83","","","","2"
"2003","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.85","","","","2"
"2004","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.84","","","","2"
"2005","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.85","","","","2"
"2006","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.86","","","","2"
"2007","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.85","","","","2"
"2008","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.85","","","","2"
"2009","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.87","","","","2"
"2010","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.87","","","","2"
"2011","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.89","","","","2"
"2012","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.90","","","","2"
"2013","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.88","","","","2"
"2014","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.91","","","","2"
"2015","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.87","","","","2"
"2016","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.87","","","","2"
"2017","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.87","","","","2"
"2018","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.88","","","","2"
"2019","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.88","","","","2"
"2020","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.90","","","","2"
"2021","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Total employees, all occupations","Females","25 to 54 years","Ratio","271","units","0","v1063672617","7.7.2.1.3.3","0.89","","","","2"
"1997","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.83","","","","2"
"1998","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.76","","","","2"
"1999","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.79","","","","2"
"2000","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.78","","","","2"
"2001","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.81","","","","2"
"2002","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.82","","","","2"
"2003","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.81","","","","2"
"2004","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.86","","","","2"
"2005","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.85","","","","2"
"2006","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.85","","","","2"
"2007","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.82","","","","2"
"2008","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.78","","","","2"
"2009","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.82","","","","2"
"2010","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.83","","","","2"
"2011","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.84","","","","2"
"2012","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.87","","","","2"
"2013","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.94","","","","2"
"2014","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.91","","","","2"
"2015","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.93","","","","2"
"2016","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.91","","","","2"
"2017","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.93","","","","2"
"2018","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.91","","","","2"
"2019","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.92","","","","2"
"2020","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.96","","","","2"
"2021","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Management occupations [0]","Females","25 to 54 years","Ratio","271","units","0","v1063672629","7.7.2.2.3.3","0.89","","","","2"
"1997","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.87","","","","2"
"1998","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.85","","","","2"
"1999","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.89","","","","2"
"2000","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.90","","","","2"
"2001","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.84","","","","2"
"2002","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.87","","","","2"
"2003","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.93","","","","2"
"2004","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.91","","","","2"
"2005","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.91","","","","2"
"2006","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.87","","","","2"
"2007","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.91","","","","2"
"2008","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.90","","","","2"
"2009","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.91","","","","2"
"2010","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.91","","","","2"
"2011","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.92","","","","2"
"2012","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.92","","","","2"
"2013","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.89","","","","2"
"2014","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.96","","","","2"
"2015","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.90","","","","2"
"2016","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.92","","","","2"
"2017","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.90","","","","2"
"2018","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.89","","","","2"
"2019","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.88","","","","2"
"2020","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.86","","","","2"
"2021","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Business, finance and administration occupations [1]","Females","25 to 54 years","Ratio","271","units","0","v1063672689","7.7.2.7.3.3","0.85","","","","2"
"1997","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.87","","","","2"
"1998","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.89","","","","2"
"1999","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.89","","","","2"
"2000","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.88","","","","2"
"2001","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.87","","","","2"
"2002","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.90","","","","2"
"2003","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.93","","","","2"
"2004","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.90","","","","2"
"2005","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.87","","","","2"
"2006","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.87","","","","2"
"2007","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.88","","","","2"
"2008","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.92","","","","2"
"2009","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.89","","","","2"
"2010","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.93","","","","2"
"2011","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.92","","","","2"
"2012","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.91","","","","2"
"2013","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.91","","","","2"
"2014","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","1.00","","","","2"
"2015","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.92","","","","2"
"2016","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.92","","","","2"
"2017","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.98","","","","2"
"2018","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.86","","","","2"
"2019","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.93","","","","2"
"2020","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.95","","","","2"
"2021","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Natural and applied sciences and related occupations [2]","Females","25 to 54 years","Ratio","271","units","0","v1063672761","7.7.2.13.3.3","0.94","","","","2"
"1997","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.94","","","","2"
"1998","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.94","","","","2"
"1999","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.94","","","","2"
"2000","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.95","","","","2"
"2001","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","1.00","","","","2"
"2002","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","1.07","","","","2"
"2003","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.91","","","","2"
"2004","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.92","","","","2"
"2005","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.92","","","","2"
"2006","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.95","","","","2"
"2007","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.93","","","","2"
"2008","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.93","","","","2"
"2009","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.87","","","","2"
"2010","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.98","","","","2"
"2011","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.92","","","","2"
"2012","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.93","","","","2"
"2013","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.85","","","","2"
"2014","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.86","","","","2"
"2015","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.82","","","","2"
"2016","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.92","","","","2"
"2017","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.88","","","","2"
"2018","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.85","","","","2"
"2019","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.88","","","","2"
"2020","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.86","","","","2"
"2021","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Health occupations [3]","Females","25 to 54 years","Ratio","271","units","0","v1063672797","7.7.2.16.3.3","0.88","","","","2"
"1997","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.83","","","","2"
"1998","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.81","","","","2"
"1999","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.83","","","","2"
"2000","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.83","","","","2"
"2001","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.79","","","","2"
"2002","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.81","","","","2"
"2003","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.83","","","","2"
"2004","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.82","","","","2"
"2005","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.85","","","","2"
"2006","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.82","","","","2"
"2007","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.81","","","","2"
"2008","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.81","","","","2"
"2009","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.80","","","","2"
"2010","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.81","","","","2"
"2011","Ontario","2016A000235","Median hourly gender wage ratio","Full-time employees","Occupations in education, law and social, community and government services [4]","Females","25 to 54 years","Ratio","271","units","0","v1063672857","7.7.2.21.3.3","0.80","","","","2"
